LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
010402,ALBANY,RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,124,18.5%,139,20.8%,263,39.3%,DISTRICT TOTAL,SCHOOL DISTRICT,15 MOUNTAIN RD,RAVENA,NY,12143,"15 MOUNTAIN RD
RAVENA, NY 12143
(42.47227638700048, -73.81484141099963)"
010402,ALBANY,RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,74,19.2%,72,18.7%,146,37.9%,ELEMENTARY,SCHOOL DISTRICT,15 MOUNTAIN RD,RAVENA,NY,12143,"15 MOUNTAIN RD
RAVENA, NY 12143
(42.47227638700048, -73.81484141099963)"
010402,ALBANY,RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,50,17.6%,67,23.6%,117,41.2%,MIDDLE/HIGH,SCHOOL DISTRICT,15 MOUNTAIN RD,RAVENA,NY,12143,"15 MOUNTAIN RD
RAVENA, NY 12143
(42.47227638700048, -73.81484141099963)"
010500,ALBANY,COHOES CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,84,17.2%,124,25.4%,208,42.5%,DISTRICT TOTAL,SCHOOL DISTRICT,7 BEVAN ST,COHOES,NY,12047,"7 BEVAN ST
COHOES, NY 12047
(42.771285452000484, -73.71046311499964)"
010500,ALBANY,COHOES CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,58,16.1%,89,24.7%,147,40.8%,ELEMENTARY,SCHOOL DISTRICT,7 BEVAN ST,COHOES,NY,12047,"7 BEVAN ST
COHOES, NY 12047
(42.771285452000484, -73.71046311499964)"
010500,ALBANY,COHOES CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,26,20.2%,35,27.1%,61,47.3%,MIDDLE/HIGH,SCHOOL DISTRICT,7 BEVAN ST,COHOES,NY,12047,"7 BEVAN ST
COHOES, NY 12047
(42.771285452000484, -73.71046311499964)"
010601,ALBANY,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,231,15.9%,262,18.1%,493,34%,DISTRICT TOTAL,SCHOOL DISTRICT,102 LORALEE DR,ALBANY,NY,12205,"102 LORALEE DR
ALBANY, NY 12205
(42.73352407800047, -73.84142054399967)"
010601,ALBANY,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,145,17.4%,169,20.3%,314,37.8%,ELEMENTARY,SCHOOL DISTRICT,102 LORALEE DR,ALBANY,NY,12205,"102 LORALEE DR
ALBANY, NY 12205
(42.73352407800047, -73.84142054399967)"
010601,ALBANY,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,86,13.9%,95,15.3%,181,29.2%,MIDDLE/HIGH,SCHOOL DISTRICT,102 LORALEE DR,ALBANY,NY,12205,"102 LORALEE DR
ALBANY, NY 12205
(42.73352407800047, -73.84142054399967)"
010623,ALBANY,NORTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,237,16.3%,225,15.5%,462,31.8%,DISTRICT TOTAL,SCHOOL DISTRICT,91 FIDDLERS LN,LATHAM,NY,12110,"91 FIDDLERS LN
LATHAM, NY 12110
(42.72935391700048, -73.74701579899966)"
